endDate,value_alex,value_james
2019-03-02,10,16.0
2019-03-03,13,15.0
2019-03-04,14,14.0
2019-03-05,15,15.0
2019-03-06,14,15.0
2019-03-07,15,13.0
2019-03-08,14,14.0
2019-03-09,11,8.0
2019-03-10,10,11.0
2019-03-11,15,13.0
2019-03-12,14,17.0
2019-03-13,13,15.0
2019-03-14,13,16.0
2019-03-15,15,19.0
2019-03-16,12,15.0
2019-03-17,16,12.0
2019-03-18,16,11.0
2019-03-19,15,15.0
2019-03-20,14,14.0
2019-03-21,14,16.0
2019-03-22,17,18.0
2019-03-23,10,3.0
2019-03-24,11,7.0
2019-03-25,16,14.0
2019-03-26,15,14.0
2019-03-27,15,20.0
2019-03-28,14,15.0
2019-03-29,15,19.0
2019-03-30,15,8.0
2019-03-31,11,8.0
2019-04-01,15,13.0
2019-04-02,15,10.0
2019-04-03,14,16.0
2019-04-04,14,18.0
2019-04-05,16,18.0
2019-04-06,12,17.0
2019-04-07,13,14.0
2019-04-08,15,17.0
2019-04-09,15,13.0
2019-04-10,12,14.0
2019-04-11,15,8.0
2019-04-12,16,16.0
2019-04-13,10,17.0
2019-04-14,13,16.0
2019-04-15,13,16.0
2019-04-16,16,15.0
2019-04-17,16,17.0
2019-04-18,14,16.0
2019-04-19,4,19.0
2019-04-20,16,9.0
2019-04-21,15,13.0
2019-04-22,14,18.0
2019-04-23,16,15.0
2019-04-24,16,20.0
2019-04-25,11,15.0
2019-04-26,15,15.0
2019-04-27,15,13.0
2019-04-28,13,12.0
2019-04-29,12,10.0
2019-04-30,14,18.0
2019-05-01,12,15.0
2019-05-02,13,15.0
2019-05-03,16,19.0
2019-05-04,12,16.0
2019-05-05,12,17.0
2019-05-06,15,16.0
2019-05-07,14,15.0
2019-05-08,14,16.0
2019-05-09,13,16.0
2019-05-10,15,20.0
2019-05-11,15,12.0
2019-05-12,13,17.0
2019-05-13,15,16.0
2019-05-14,16,13.0
2019-05-15,17,19.0
2019-05-16,12,15.0
2019-05-17,12,19.0
2019-05-18,14,15.0
2019-05-19,9,12.0
2019-05-20,15,17.0
2019-05-21,17,14.0
2019-05-22,16,14.0
2019-05-23,14,15.0
2019-05-24,16,18.0
2019-05-25,14,3.0
2019-05-26,10,
2019-05-27,11,15.0
2019-05-28,15,13.0
2019-05-29,15,13.0
2019-05-30,16,15.0
2019-05-31,15,17.0
2019-06-01,15,15.0
2019-06-02,12,17.0
2019-06-03,12,10.0
2019-06-04,14,13.0
2019-06-05,15,14.0
2019-06-06,16,17.0
2019-06-07,14,16.0
2019-06-08,16,15.0
